Year,Month,Category,Title,Author,Publisher,Price,Publish_Date,Sales_Index,Rating,Age_Scores,Pages,Keywords,Gender,Age,month
2024,1,가정과 살림,아이는 무엇으로 자라는가,버지니아 사티어 저/강유리 역,포레스트북스,15750,2023년 12월,159582,9.4,"{'10대': 0.0, '20대': 8.0, '30대': 9.0, '40대': 9.0, '50대': 9.0}",256,"['#부모는처음이라', '#부모와아이가행복한육아', '#부모가된다는것', '#자녀교육']",1,40,6
2024,1,가정과 살림,이은경쌤의 초등어휘일력 365,이은경 저,포레스트북스,16920,2022년 10월,175182,9.8,"{'10대': 0.0, '20대': 10.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",384,"['#독서교육', '#초등읽기', '#문해력', '#초등어휘', '#어휘력']",1,40,6
2024,1,가정과 살림,수학 1등급 로드맵,김현정 저,브리드북스,16200,2024년 06월,28707,9.4,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",232,"['#얼리리더', '#공부법', '#효과적인공부법', '#국영수공부법']",1,40,6
2024,1,가정과 살림,이은경쌤의 사자성어 속담 일력 365,이은경 저,포레스트북스,19800,2023년 10월,123165,9.8,"{'10대': 8.0, '20대': 0.0, '30대': 9.0, '40대': 9.0, '50대': 10.0}",384,"['#속담', '#초등한자', '#초등어휘', '#자녀교육', '#공부법을공부하는부모']",1,40,6
2024,1,가정과 살림,시니맘의 참 잘 먹는 10분 유아식,시니맘 저,서사원,16920,2024년 07월,14940,10,{},232,"['#얼리리더', '#완밥레시피', '#육아노하우', '#간편이유식']",1,40,6
2024,1,가정과 살림,최민준의 아들코칭 백과,최민준 저,위즈덤하우스,16920,2023년 08월,171735,9.9,"{'10대': 0.0, '20대': 0.0, '30대': 9.0, '40대': 9.0, '50대': 0.0}",376,"['#육아고수노하우', '#자녀교육', '#아들키우기']",1,40,6
2024,1,가정과 살림,한 달에 10만원 도시락 만들기,이슬비 저,길벗,16920,2024년 06월,18552,9.9,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 10.0, '50대': 10.0}",244,"['#도시락레시피', '#유튜브인기레시피', '#간단한레시피', '#도시락을싸보자']",1,40,6
2024,1,가정과 살림,요즘 초등생을 위한 최소한의 고전수업,김민아 저,청림Life,16200,2024년 06월,10938,10,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 10.0, '50대': 9.0}",280,['#독서지도안'],1,40,6
2024,1,가정과 살림,대치동을 이기는 엄마표 영어,원희정 저,미다스북스(리틀미다스),17100,2024년 07월,1320,10,{},296,"['#이달의굿즈', '#셰프의레시피', '#유튜버의책', '#유튜브인기레시피', '#집밥레시피']",1,40,6
2024,1,가정과 살림,김대석 셰프의 집밥 레시피 2,김대석 저,경향비피,16200,2024년 07월,10956,10,{},213,"['#학습법', '#대학입시']",1,40,6
2024,1,가정과 살림,입시 읽어주는 엄마,이춘희 저,체인지업,19800,2024년 05월,19350,10,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",332,"['#부모와아이가행복한육아', '#엄마가된다는것', '#요즘부모양육법', '#부모가된다는것']",1,40,6
2024,1,가정과 살림,엄마의 말 그릇,김윤나 저,카시오페아,17100,2024년 05월,20478,10,"{'10대': 0.0, '20대': 0.0, '30대': 10.0, '40대': 9.0, '50대': 10.0}",256,"['#간단한레시피', '#집밥레시피', '#기간한정특가']",1,40,6
