Year,Month,Category,Title,Author,Publisher,Price,Publish_Date,Sales_Index,Rating,Pages,Gender,Age,month,Publish_Month,Page_cat,Price_cat
2024,1,가정과 살림,스스로 해내는 아이의 비밀,김보경 저,제이포럼,16650,2024년 06월,24369,9.7,320,1,60,6,6,300-350,15000-17500
2024,1,가정과 살림,요즘 초등생을 위한 최소한의 고전수업,김민아 저,청림Life,16200,2024년 06월,10938,10,280,1,60,6,6,250-300,15000-17500
2024,1,가정과 살림,나는 다정한 관찰자가 되기로 했다,이은경 저,서교책방,16020,2024년 05월,237453,10,288,1,60,6,5,250-300,15000-17500
2024,1,가정과 살림,반찬등속. 할머니 말씀대로 한과 하는 이야기,강신혜 저,청주부엌,25200,2024년 05월,867,10,288,1,60,6,5,250-300,25000+
2024,1,가정과 살림,몇 번이고 만들고 싶은 홈디저트,아이리오 저/임지인 역,시그마북스,16200,2024년 05월,900,10,144,1,60,6,5,0-200,15000-17500
2024,1,가정과 살림,요리는 소스빨,소연남 저,페이퍼버드,16200,2024년 04월,5394,9.8,256,1,60,6,4,250-300,15000-17500
2024,1,가정과 살림,창의력 톡톡! 휴지 심 놀이,이지은 저,서사원,18900,2024년 04월,1620,9.9,240,1,60,6,4,200-250,17500-20000
2024,1,가정과 살림,국어 잘하는 아이가 이깁니다,나민애 저,김영사,15750,2024년 03월,151218,10,276,1,60,6,3,250-300,15000-17500
2024,1,가정과 살림,우리 아이를 위한 입시지도,심정섭 저,진서원,24300,2024년 03월,7350,9.7,456,1,60,6,3,400+,20000-25000
2024,1,가정과 살림,이은경쌤의 초등어휘일력 365,이은경 저,포레스트북스,16920,2022년 10월,175182,9.8,384,0,10,6,10,350-400,15000-17500
2024,1,가정과 살림,김대석 셰프의 집밥 레시피 2,김대석 저,경향비피,16200,2024년 07월,10956,10,213,0,10,6,7,200-250,15000-17500
2024,1,가정과 살림,이은경쌤의 사자성어 속담 일력 365,이은경 저,포레스트북스,19800,2023년 10월,123165,9.8,384,0,10,6,10,350-400,17500-20000
